1000 100000
4 961 5
4 973 52
4 296 78
4 478 41
4 122 11
4 351 85
4 856 68
4 761 52
4 472 12
4 759 81
4 544 34
4 6 18
4 524 48
4 219 53
4 406 77
4 690 73
4 768 62
4 238 10
4 17 6
4 837 27
4 51 78
4 468 31
4 217 3
4 185 34
4 108 72
4 317 25
4 707 26
4 791 79
4 935 78
4 125 49
4 859 73
4 836 60
4 390 40
4 482 31
4 460 46
4 982 85
4 522 37
4 147 51
4 956 24
4 947 67
4 954 23
4 202 60
4 783 44
4 590 67
4 87 7
4 253 89
4 201 36
4 881 1
4 993 48
4 666 98
4 40 54
4 47 84
4 64 67
4 925 88
4 719 80
4 153 10
4 191 81
4 196 90
4 936 44
4 26 1
4 205 17
4 514 5
4 696 66
4 176 12
4 907 22
4 647 63
4 284 44
4 190 20
4 12 9
4 380 52
4 695 1
5 417 43
5 601 8
5 661 48
5 203 96
5 398 91
5 575 35
5 931 57
5 784 66
5 260 9
5 177 24
5 493 42
5 501 63
5 371 84
5 375 78
5 852 47
5 283 31
5 616 87
5 287 12
5 847 5
5 290 15
5 528 33
5 963 10
5 965 48
5 859 98
5 236 75
5 453 42
5 233 78
5 939 41
5 424 60
5 239 14
5 640 42
5 91 39
5 300 33
5 458 8
5 910 45
5 64 23
5 700 47
5 416 62
5 324 54
5 213 6
5 908 95
5 900 33
5 958 3
5 348 9
5 59 74
5 713 56
5 524 88
5 827 15
5 866 74
5 468 34
5 158 31
5 442 6
5 877 75
5 411 90
5 77 9
5 706 20
5 212 20
5 172 47
5 195 46
5 178 59
5 71 7
5 775 48
5 652 94
5 54 26
5 478 86
5 342 78
5 73 93
5 258 42
5 704 31
5 304 72
5 141 47
5 989 2
5 228 37
5 467 0
5 74 77
5 994 98
5 138 25
5 952 69
5 500 35
5 370 34
5 953 54
5 911 18
5 53 28
5 927 22
5 724 23
5 400 59
5 725 87
5 507 11
5 443 43
5 607 54
5 816 37
5 761 42
5 344 51
5 327 59
5 598 49
5 738 59
5 80 68
5 319 13
5 466 94
5 951 1
6 695 41
6 662 36
6 890 4
6 46 60
6 402 88
6 321 68
6 869 93
6 340 4
6 979 14
6 443 89
6 517 78
6 850 42
6 808 45
6 678 84
6 0 98
6 261 97
6 636 23
6 173 39
6 778 71
6 243 78
6 27 3
6 546 48
6 809 41
6 751 33
6 699 97
6 130 73
6 648 98
6 959 12
6 781 86
6 172 53
6 622 46
6 476 38
6 241 15
6 257 100
6 125 87
6 255 73
6 729 49
6 730 52
6 284 43
6 510 11
6 359 14
6 638 37
6 498 38
6 851 72
6 603 24
6 535 75
6 508 81
6 380 81
6 941 37
6 604 76
6 797 8
6 829 74
6 716 83
6 738 43
6 442 67
6 992 98
6 9 61
6 775 89
6 153 50
6 54 78
6 435 64
6 97 66
6 411 54
6 537 79
6 16 87
6 218 78
6 776 77
6 964 8
6 861 82
6 269 60
6 744 91
6 113 21
6 973 43
6 291 83
6 383 78
6 698 12
6 551 19
6 461 35
6 292 95
6 545 1
6 569 0
6 852 86
6 826 82
6 191 98
6 470 45
6 94 61
6 148 70
6 496 67
6 274 61
6 430 90
6 165 53
7 832 61
7 190 56
7 56 48
7 497 6
7 361 53
7 517 37
7 17 54
7 246 95
7 954 0
7 756 48
7 708 72
7 32 8
7 142 27
7 640 7
7 546 92
7 420 89
7 925 55
7 486 40
7 901 66
7 973 23
7 821 28
7 564 71
7 200 7
7 946 8
7 447 7
7 867 25
7 966 54
7 961 97
7 455 51
7 141 75
7 145 34
7 736 10
7 158 12
7 355 97
7 349 25
7 443 22
7 941 75
7 390 37
7 650 72
7 235 41
7 830 22
7 578 92
7 454 38
7 808 29
7 593 69
7 389 6
7 792 32
7 2 100
7 521 72
7 166 11
7 75 28
7 276 72
7 900 63
7 955 18
7 155 65
7 525 80
7 994 78
7 119 22
7 6 10
7 410 74
7 385 9
7 331 34
7 502 74
7 948 99
7 173 40
7 245 56
7 397 53
7 353 69
7 996 38
7 89 8
7 595 19
7 872 89
7 903 21
7 105 88
7 746 55
7 641 5
7 774 19
7 386 72
7 989 93
7 4 60
7 465 11
7 329 81
7 922 34
7 395 32
7 424 36
7 360 94
7 484 95
7 176 86
7 247 15
8 806 66
8 425 76
8 125 1
8 289 49
8 232 77
8 531 58
8 353 35
8 840 10
8 836 5
8 32 93
8 566 95
8 110 18
8 119 43
8 919 1
8 49 77
8 677 53
8 231 98
8 241 5
8 419 77
8 486 64
8 104 65
8 856 54
8 65 81
8 842 55
8 858 26
8 381 47
8 958 26
8 265 41
8 639 36
8 369 22
8 822 9
8 69 38
8 191 17
8 648 99
8 178 21
8 29 9
8 175 86
8 457 48
8 234 33
8 870 92
8 781 65
8 769 89
8 795 98
8 193 67
8 500 74
8 937 74
8 272 56
8 307 3
8 114 14
8 89 13
8 216 23
8 805 96
8 86 33
8 366 14
8 866 64
8 291 24
8 881 65
8 295 54
8 616 75
8 668 58
8 131 91
8 30 96
8 917 0
8 734 73
8 636 86
8 664 49
8 844 5
8 433 32
8 582 46
8 872 1
8 740 96
8 623 43
8 88 90
8 94 60
8 971 41
8 927 47
8 47 48
8 847 0
8 132 34
8 686 80
8 138 17
8 879 53
8 779 79
8 199 65
8 56 32
8 742 59
8 608 46
8 799 75
8 556 90
8 407 62
8 631 69
8 834 53
8 44 42
8 857 69
8 200 56
9 673 45
9 362 4
9 691 51
9 182 68
9 606 95
9 78 37
9 722 26
9 9 59
9 571 64
9 966 81
9 413 26
9 873 91
9 898 33
9 886 60
9 175 63
9 822 60
9 461 71
9 626 26
9 638 31
9 378 45
9 527 72
9 456 66
9 208 15
9 885 77
9 29 59
9 551 24
9 257 72
9 458 56
9 101 60
9 848 47
9 671 17
9 637 67
9 252 32
9 521 81
9 747 93
9 735 20
9 266 100
9 757 50
9 171 91
9 844 80
9 379 24
9 883 44
9 605 61
9 457 69
9 981 28
9 169 55
9 358 47
9 446 73
9 911 82
9 724 78
9 838 79
9 71 89
9 297 16
9 618 31
9 907 59
9 303 93
9 740 54
9 239 41
9 392 83
9 548 11
9 217 45
9 742 54
9 815 9
9 712 23
9 26 87
9 896 98
9 587 39
9 778 10
9 604 90
9 184 56
9 254 40
9 704 1
9 232 25
9 103 88
9 142 76
9 909 22
9 455 65
9 702 8
9 676 22
9 850 24
9 296 39
9 644 16
9 211 97
9 602 59
9 734 37
9 74 7
9 4 25
9 73 6
9 754 50
9 31 85
9 510 13
9 973 100
9 501 95
9 933 54
9 509 85
9 680 70
9 227 83
10 646 7
10 261 26
10 105 60
10 881 74
10 915 90
10 801 31
10 83 85
10 831 11
10 924 62
10 452 64
10 942 99
10 667 100
10 927 5
10 613 70
10 746 16
10 427 48
10 739 74
10 884 48
10 265 51
10 594 88
10 952 11
10 654 36
10 524 26
10 211 2
10 950 41
10 415 35
10 822 97
10 28 77
10 894 81
10 191 91
10 805 73
10 200 9
10 803 90
10 14 97
10 437 35
10 67 21
10 585 72
10 307 78
10 474 18
10 904 67
10 941 50
10 865 7
10 735 77
10 569 72
10 426 39
10 681 40
10 137 15
10 5 60
10 600 75
10 690 46
10 783 69
10 578 78
10 628 4
10 845 75
10 155 37
10 705 33
10 329 98
10 391 4
10 252 19
10 796 86
10 357 83
10 800 47
10 35 100
10 279 5
10 890 29
10 318 11
10 87 0
10 919 14
10 118 72
10 108 2
10 809 29
10 47 57
10 425 36
10 149 89
10 60 18
10 642 96
10 444 86
10 640 49
10 1 16
10 974 36
10 645 28
10 130 89
10 18 13
10 430 0
10 517 26
10 178 16
10 303 89
10 339 49
10 563 17
10 194 24
10 824 97
10 55 10
10 225 48
10 991 0
10 107 50
10 337 74
10 510 74
11 126 34
11 312 20
11 328 64
11 811 43
11 632 39
11 662 12
11 605 89
11 120 84
11 520 45
11 325 62
11 478 46
11 685 36
11 822 95
11 471 26
11 767 83
11 296 70
11 474 25
11 918 88
11 487 12
11 481 68
11 449 98
11 240 63
11 988 63
11 407 95
11 694 75
11 725 95
11 124 84
11 552 65
11 847 93
11 237 1
11 895 23
11 595 23
11 21 94
11 815 30
11 13 26
11 611 92
11 664 92
11 324 99
11 550 75
11 701 68
11 176 79
11 174 12
11 16 7
11 639 22
11 463 50
11 349 69
11 625 75
11 166 59
11 411 85
11 834 98
11 548 21
11 91 8
11 514 27
11 620 14
11 969 46
11 391 34
11 492 90
11 681 34
11 339 57
11 383 78
11 850 22
11 907 67
11 319 76
11 292 100
11 932 66
11 112 30
11 226 93
11 884 50
11 78 11
11 195 45
11 851 34
11 302 46
11 844 39
11 327 89
11 597 80
11 753 21
11 702 17
11 731 48
11 927 92
11 715 26
11 440 69
11 489 41
11 959 37
11 666 10
11 188 96
11 683 89
11 424 55
11 401 58
12 411 86
12 534 24
12 360 25
12 937 59
12 26 15
12 311 7
12 906 31
12 679 22
12 800 13
12 74 87
12 171 69
12 335 58
12 710 80
12 487 38
12 627 20
12 328 40
12 17 64
12 381 100
12 543 65
12 776 41
12 786 74
12 380 94
12 689 54
12 795 78
12 222 9
12 659 23
12 199 60
12 834 27
12 260 62
12 60 51
12 181 14
12 238 51
12 212 22
12 951 53
12 160 41
12 333 67
12 170 43
12 749 42
12 470 32
12 319 49
12 840 94
12 988 25
12 58 5
12 476 94
12 485 1
12 610 60
12 746 82
12 43 20
12 713 62
12 213 27
12 703 77
12 822 38
12 740 95
12 366 87
12 936 91
12 998 52
12 558 24
12 484 94
12 93 62
12 12 92
12 690 84
12 53 31
12 553 74
12 641 39
12 282 97
12 276 89
12 640 80
12 112 36
12 857 38
12 165 5
12 129 85
12 317 81
12 62 65
12 8 50
12 607 96
12 315 84
12 609 50
12 948 30
12 506 31
12 34 79
12 179 5
12 27 42
12 38 50
12 391 78
12 186 75
12 524 88
12 706 80
12 182 23
12 978 32
12 296 66
12 449 48
12 447 65
12 940 71
12 913 16
12 705 88
12 486 37
12 394 22
12 307 42
12 285 93
13 616 70
13 377 61
13 967 68
13 287 85
13 53 14
13 332 87
13 146 68
13 963 44
13 907 17
13 282 30
13 37 26
13 212 29
13 842 4
13 868 16
13 65 79
13 565 98
13 184 15
13 454 1
13 870 30
13 278 8
13 314 39
13 860 24
13 244 71
13 135 19
13 554 32
13 990 77
13 98 29
13 411 68
13 929 51
13 46 8
13 653 97
13 808 16
13 799 60
13 48 99
13 47 89
13 852 77
13 392 61
13 678 10
13 44 72
13 807 22
13 646 95
13 444 93
13 463 40
13 404 75
13 735 22
13 587 71
13 167 84
13 224 13
13 101 34
13 528 1
13 139 57
13 897 73
13 450 68
13 548 94
13 638 98
13 711 46
13 339 58
13 742 77
13 68 45
13 905 23
13 9 51
13 121 99
13 939 53
13 340 48
13 10 81
13 615 100
13 350 20
13 657 26
13 471 3
13 402 22
13 806 84
13 509 93
13 32 37
13 717 21
13 15 33
13 154 17
13 614 37
13 859 37
13 337 75
13 464 100
13 913 6
13 639 56
13 232 53
13 451 33
13 926 53
13 707 9
13 50 91
13 158 23
13 536 85
13 354 37
14 548 12
14 653 93
14 754 69
14 423 84
14 393 46
14 56 9
14 179 7
14 935 27
14 416 68
14 532 19
14 23 15
14 263 60
14 502 55
14 937 11
14 430 17
14 802 96
14 290 89
14 335 14
14 546 17
14 268 83
14 120 92
14 677 30
14 743 54
14 879 61
14 499 55
14 954 27
14 816 21
14 217 4
14 291 59
14 157 80
14 288 0
14 782 55
14 78 15
14 545 97
14 536 81
14 314 2
14 16 87
14 449 42
14 435 57
14 938 49
14 691 74
14 939 16
14 258 53
14 137 48
14 934 10
14 169 39
14 234 67
14 701 98
14 510 18
14 100 88
14 433 89
14 721 35
14 985 81
14 413 49
14 496 30
14 986 69
14 783 100
14 121 30
14 892 49
14 583 34
14 123 35
14 572 27
14 80 93
14 945 3
14 89 63
14 574 0
14 964 47
14 128 75
14 582 81
14 837 1
14 838 96
14 456 25
14 922 0
14 998 96
14 542 47
14 841 81
14 174 27
14 930 58
14 534 84
14 285 22
14 486 5
14 694 27
14 513 64
14 978 84
14 906 10
14 943 31
14 834 68
14 568 94
14 647 34
14 301 58
14 225 79
14 846 29
14 602 56
14 523 95
15 754 38
15 288 44
15 170 9
15 379 28
15 941 12
15 637 45
15 793 71
15 530 99
15 207 69
15 836 98
15 725 96
15 279 9
15 97 37
15 173 82
15 390 95
15 150 65
15 820 60
15 287 96
15 311 5
15 733 91
15 917 6
15 271 96
15 396 39
15 335 83
15 53 68
15 256 72
15 206 94
15 743 51
15 329 78
15 94 21
15 659 55
15 755 54
15 360 94
15 728 51
15 676 72
15 559 13
15 24 78
15 571 54
15 757 56
15 652 18
15 538 45
15 657 50
15 822 13
15 355 90
15 934 34
15 797 92
15 634 30
15 973 79
15 615 61
15 327 78
15 377 81
15 613 51
15 215 96
15 616 91
15 487 39
15 359 26
15 500 50
15 320 4
15 159 14
15 189 59
15 966 33
15 769 100
15 130 40
15 497 76
15 72 84
15 809 98
15 828 46
15 835 13
15 646 13
15 70 24
15 992 80
15 840 16
15 860 47
15 354 33
15 765 2
15 268 93
15 946 69
15 416 67
15 417 82
15 188 34
15 913 40
15 199 0
15 556 67
15 925 22
15 799 83
15 285 35
15 838 33
15 393 99
15 693 13
15 273 42
15 509 50
15 537 22
15 773 100
15 339 32
15 745 54
15 22 44
15 434 52
15 545 46
15 401 86
15 600 82
15 699 37
15 763 45
15 363 10
15 455 14
15 229 64
15 185 99
16 933 56
16 181 92
16 178 6
16 755 93
16 275 33
16 387 46
16 29 30
16 661 86
16 204 43
16 580 4
16 931 37
16 546 30
16 528 66
16 189 8
16 94 45
16 729 54
16 436 91
16 388 79
16 451 62
16 998 15
16 962 47
16 531 29
16 284 2
16 107 83
16 671 80
16 643 61
16 133 42
16 764 59
16 328 60
16 943 63
16 79 74
16 994 88
16 350 4
16 247 10
16 238 68
16 537 67
16 657 6
16 870 70
16 751 82
16 468 99
16 702 76
16 96 71
16 628 60
16 182 14
16 721 42
16 520 16
16 925 78
16 264 58
16 203 48
16 462 52
16 864 91
16 294 70
16 281 6
16 968 67
16 343 5
16 677 3
16 369 90
16 3 67
16 372 60
16 86 45
16 807 3
16 383 77
16 180 41
16 673 52
16 215 24
16 51 27
16 838 45
16 722 16
16 949 93
16 982 100
16 165 26
16 854 22
16 754 59
16 571 50
16 894 86
16 798 9
16 168 37
16 11 50
16 53 41
16 522 35
16 516 62
16 401 67
16 581 99
16 793 70
16 224 40
16 740 83
16 821 39
16 84 79
16 252 31
16 706 45
16 846 71
16 745 33
16 271 61
16 953 67
16 65 32
16 556 47
16 24 95
16 517 81
16 655 5
16 544 93
16 856 33
16 503 78
16 737 40
16 774 56
16 423 50
16 746 19
16 802 75
17 355 89
17 94 50
17 382 26
17 364 100
17 824 57
17 336 13
17 413 48
17 851 3
17 807 46
17 761 95
17 428 66
17 791 46
17 484 45
17 30 58
17 72 23
17 306 20
17 368 83
17 654 31
17 698 49
17 347 75
17 276 62
17 87 36
17 62 99
17 730 11
17 106 55
17 806 2
17 922 23
17 607 66
17 651 14
17 917 1
17 569 93
17 583 24
17 508 76
17 742 25
17 861 1
17 855 14
17 969 41
17 81 28
17 943 78
17 541 49
17 792 87
17 358 83
17 303 74
17 14 10
17 591 38
17 420 26
17 585 34
17 134 18
17 678 82
17 458 39
17 783 53
17 108 11
17 818 32
17 242 54
17 729 12
17 381 98
17 78 69
17 254 39
17 682 14
17 707 80
17 910 89
17 198 45
17 268 61
17 658 21
17 399 1
17 218 42
17 3 88
17 872 61
17 92 95
17 284 21
17 117 3
17 509 91
17 467 74
17 505 98
17 937 86
17 75 80
17 225 95
17 754 15
17 708 92
17 865 72
17 869 61
17 275 63
17 518 85
17 335 77
17 402 96
17 104 34
17 377 27
17 836 65
17 787 59
17 434 25
17 21 26
17 826 69
17 866 99
17 161 85
17 907 76
17 136 8
17 864 74
18 180 95
18 725 100
18 219 41
18 434 68
18 619 96
18 683 77
18 795 12
18 929 94
18 425 74
18 953 45
18 589 50
18 575 3
18 42 95
18 845 24
18 273 37
18 404 82
18 308 80
18 927 19
18 22 67
18 561 30
18 838 48
18 123 98
18 498 72
18 343 72
18 350 61
18 862 77
18 948 28
18 984 81
18 556 36
18 714 45
18 566 26
18 476 90
18 389 97
18 465 22
18 314 40
18 583 63
18 701 42
18 848 61
18 996 15
18 138 83
18 78 23
18 947 12
18 971 34
18 360 6
18 127 16
18 432 74
18 961 52
18 384 65
18 428 87
18 691 22
18 955 56
18 554 52
18 766 23
18 295 54
18 752 38
18 333 86
18 700 6
18 249 24
18 313 75
18 730 85
18 2 17
18 79 96
18 80 69
18 666 70
18 979 8
18 951 65
18 818 11
18 291 25
18 493 20
18 10 88
18 379 66
18 420 60
18 626 86
18 663 77
18 311 23
18 188 63
18 59 47
18 581 71
18 507 44
18 253 83
18 446 24
18 309 86
18 527 67
18 154 42
18 366 59
18 608 72
19 372 78
19 988 7
19 260 25
19 205 64
19 403 56
19 724 45
19 653 8
19 157 95
19 291 72
19 342 15
19 623 69
19 444 20
19 772 53
19 537 39
19 332 49
19 465 39
19 202 33
19 667 54
19 299 50
19 778 54
19 334 96
19 881 18
19 958 79
19 935 12
19 210 62
19 327 35
19 788 19
19 984 83
19 82 7
19 690 60
19 79 56
19 941 56
19 314 79
19 791 2
19 879 35
19 19 48
19 454 79
19 823 74
19 650 50
19 225 88
19 559 29
19 746 65
19 754 46
19 87 66
19 484 79
19 393 95
19 470 48
19 795 49
19 854 54
19 286 100
19 700 28
19 638 66
19 446 79
19 867 66
19 931 29
19 420 34
19 11 99
19 404 57
19 890 63
19 834 28
19 949 85
19 309 44
19 877 41
19 548 12
19 180 45
19 608 42
19 274 42
19 501 37
19 917 30
19 78 28
19 130 67
19 116 54
19 959 62
19 950 59
19 609 97
19 674 22
19 600 26
19 670 48
19 304 37
19 267 87
19 449 93
19 24 79
19 509 72
19 77 8
19 153 96
19 756 53
20 22 24
20 932 97
20 831 65
20 622 6
20 239 15
20 636 83
20 667 15
20 344 14
20 52 83
20 758 13
20 663 96
20 728 31
20 771 83
20 420 59
20 672 13
20 670 94
20 987 14
20 614 39
20 448 24
20 266 65
20 974 97
20 611 74
20 789 23
20 715 59
20 175 57
20 788 43
20 775 59
20 480 41
20 995 86
20 413 28
20 47 8
20 27 18
20 216 13
20 593 34
20 925 87
20 355 76
20 314 29
20 502 40
20 476 8
20 826 80
20 539 94
20 754 40
20 817 19
20 833 82
20 606 91
20 174 69
20 755 97
20 412 39
20 752 52
20 309 82
20 125 9
20 656 85
20 905 84
20 415 41
20 522 83
20 249 60
20 104 62
20 751 20
20 616 53
20 317 30
20 888 87
20 561 74
20 156 78
20 65 82
20 256 82
20 967 14
20 742 42
20 126 75
20 961 4
20 898 90
20 356 84
20 99 2
20 62 36
20 127 100
20 518 63
20 459 38
20 147 41
20 393 74
20 210 88
20 527 98
20 830 69
20 29 51
20 241 40
20 776 59
20 598 48
20 196 52
20 242 97
20 83 24
20 274 42
20 743 25
20 731 65
20 186 64
20 537 30
20 501 6
20 293 33
20 566 64
20 294 43
20 232 0
20 708 68
20 462 55
20 643 4
20 917 79
20 430 10
20 661 24
20 793 69
20 376 61
20 391 76
20 237 45
20 914 73
20 836 2
20 972 79
21 566 67
21 853 42
21 636 49
21 158 78
21 625 79
21 2 69
21 758 17
21 118 22
21 671 14
21 952 93
21 38 50
21 587 59
21 392 14
21 721 50
21 800 0
21 594 43
21 851 68
21 105 44
21 173 2
21 928 77
21 55 92
21 76 27
21 563 7
21 574 52
21 260 91
21 833 42
21 318 17
21 804 29
21 935 89
21 367 32
21 361 83
21 889 20
21 858 69
21 548 46
21 537 1
21 657 64
21 383 42
21 898 4
21 693 72
21 545 59
21 620 71
21 648 76
21 256 16
21 967 13
21 266 51
21 564 63
21 570 32
21 499 46
21 6 88
21 632 93
21 466 95
21 284 3
21 954 95
21 277 1
21 647 14
21 410 100
21 765 71
21 47 90
21 416 92
21 433 9
21 83 51
21 614 58
21 302 7
21 262 56
21 941 76
21 418 36
21 252 35
21 643 69
21 807 62
21 527 28
21 317 68
21 497 70
21 313 82
21 684 98
21 525 69
21 348 24
21 65 48
21 708 68
21 293 68
21 363 89
21 983 32
21 735 42
21 956 100
21 876 83
21 949 37
21 786 8
21 691 33
21 336 1
21 380 63
21 202 79
21 669 53
21 4 75
21 81 40
22 654 18
22 782 83
22 341 59
22 963 83
22 477 75
22 298 10
22 645 77
22 823 97
22 771 74
22 721 18
22 17 7
22 896 84
22 246 31
22 652 8
22 65 60
22 161 28
22 768 98
22 152 78
22 440 70
22 486 18
22 454 63
22 266 34
22 69 96
22 852 11
22 660 96
22 581 35
22 105 63
22 345 48
22 226 23
22 885 36
22 170 78
22 709 44
22 784 62
22 965 71
22 261 43
22 82 45
22 36 63
22 982 72
22 212 68
22 448 0
22 872 73
22 139 66
22 669 24
22 282 21
22 946 59
22 614 64
22 339 17
22 419 98
22 843 77
22 764 62
22 444 34
22 748 19
22 175 61
22 144 2
22 648 54
22 780 35
22 941 1
22 41 58
22 718 65
22 292 3
22 66 41
22 992 88
22 682 37
22 132 47
22 693 20
22 508 31
22 536 59
22 867 8
22 482 77
22 113 64
22 294 61
22 686 28
22 107 92
22 833 74
22 558 48
22 273 94
22 288 73
22 257 33
22 312 84
22 265 45
22 382 77
22 836 63
22 630 21
22 71 3
22 518 22
22 191 28
22 834 53
22 692 14
22 576 77
22 416 52
22 463 49
22 711 19
22 720 4
22 417 8
22 121 3
22 756 2
22 462 88
23 595 16
23 519 15
23 578 23
23 799 2
23 747 7
23 300 0
23 228 71
23 964 10
23 859 38
23 999 0
23 453 97
23 238 63
23 204 23
23 43 33
23 296 81
23 842 81
23 569 43
23 126 84
23 478 27
23 247 92
23 587 26
23 477 22
23 169 7
23 527 61
23 483 78
23 356 79
23 432 15
23 73 62
23 722 20
23 825 91
23 92 63
23 499 67
23 297 20
23 721 43
23 392 89
23 34 2
23 987 30
23 575 62
23 101 76
23 959 78
23 170 70
23 162 81
23 136 77
23 697 85
23 426 74
23 27 55
23 759 79
23 630 62
23 793 19
23 280 51
23 724 43
23 748 34
23 41 3
23 249 65
23 624 59
23 353 3
23 263 51
23 318 32
23 831 13
23 252 49
23 230 75
23 573 76
23 852 87
23 601 72
23 604 9
23 926 84
23 329 36
23 516 34
23 890 79
23 457 78
23 648 82
23 4 10
23 255 79
23 484 93
23 637 44
23 78 43
23 237 45
23 975 40
23 485 2
23 79 70
23 757 76
23 272 16
23 451 87
23 656 11
23 59 55
23 271 30
23 590 36
23 515 1
23 735 82
23 312 83
23 492 32
23 96 71
23 217 78
23 543 42
23 698 21
23 985 51
23 677 7
23 566 48
23 978 27
23 692 2
23 865 12
23 530 57
23 316 43
23 610 37
23 57 24
23 219 89
